List Price,Bedrooms Total,Bathrooms Total,Living Area,MLS Area Major,Year Built,Lot Size Acres,Days on Market,Non-Representative Compensation,Stories Total,Stories,Bedrooms Total,Bathrooms Total,Bathrooms Full,Bathrooms Half,Garage Spaces,Original List Price,Latitude,Longitude,Time Limit Flag
2095,4,3,2532.0,56,2021,0.13,71,0.0,2.0,2.0,4,3,2,1.0,2.0,2250,30.23779239232566,-81.71298718,0
1795,3,2,1151.0,308,2008,0.11,15,100.0,1.0,1.0,3,2,2,0.0,1.0,1795,29.94564959909571,-81.49559749,0
2399,3,2,1704.0,123,1986,0.26,8,10.0,1.0,1.0,3,2,2,0.0,2.0,2399,30.066844708388885,-81.72013484,0
2200,3,2,1696.0,92,2020,0.21,18,0.0,1.0,1.0,3,2,2,0.0,2.0,2200,30.463178420453964,-81.62274322,0
1945,3,2,1690.0,139,1999,0.15,16,0.0,1.0,1.0,3,2,2,0.0,2.0,2195,30.176073862378896,-81.79708425,0
4500,6,4,3433.0,14,1993,0.41,7,0.0,1.0,1.0,6,4,4,0.0,2.0,4500,30.16174494476717,-81.6053201,0
1800,3,3,1691.0,67,2005,0.01,21,0.0,2.0,2.0,3,3,2,1.0,1.0,1800,30.192762689883843,-81.81679022,0
2395,3,3,1851.0,22,2005,0.06,16,0.0,2.0,2.0,3,3,2,1.0,2.0,2395,30.25053021356113,-81.56504258,0
1790,4,2,1846.0,61,2005,0.16,126,0.0,1.0,1.0,4,2,2,0.0,2.0,2095,30.267429845982686,-81.85454401,1
6500,5,3,3318.0,271,2018,0.27,2,0.0,1.0,1.0,5,3,3,0.0,2.5,6500,30.12951558527097,-81.40974156,0
2195,4,2,1912.0,163,2022,0.14,1,0.0,1.0,1.0,4,2,2,0.0,2.0,2195,30.060878599490128,-81.81204982,0
1950,3,3,2029.0,123,2004,0.1,29,10.0,2.0,2.0,3,3,2,1.0,2.0,2100,30.06444594237281,-81.71820141,0
3300,3,2,1508.0,214,1992,0.11,16,150.0,1.0,1.0,3,2,2,0.0,2.0,3300,30.26442379593942,-81.40657564,0
2200,3,3,2163.0,492,2011,0.2,57,0.0,2.0,2.0,3,3,2,1.0,2.0,2400,30.610316873395945,-81.66533989,0
4000,2,3,1596.0,261,1982,0.0,64,0.0,1.0,1.0,2,3,2,1.0,1.0,4500,30.170705585651973,-81.42112651,0
3950,3,2,1763.0,271,2015,0.13,64,0.0,1.0,1.0,3,2,2,0.0,2.0,4250,30.13488024279603,-81.42369617,0
3200,3,3,2348.0,214,1962,0.18,25,0.0,2.0,2.0,3,3,2,1.0,1.0,3200,30.264118578246684,-81.39434834,0
1550,3,3,1440.0,139,2005,0.04,10,0.0,2.0,2.0,3,3,2,1.0,1.0,1550,30.17093606409701,-81.84067354,0
3000,3,2,1909.0,304,2023,0.15,4,0.0,1.0,1.0,3,2,2,0.0,2.0,3000,30.027585288118093,-81.57695617,0
4100,4,4,3049.0,26,2006,0.33,8,410.0,2.0,2.0,4,4,3,1.0,3.0,4100,30.28098284620058,-81.46658598,0
1650,3,2,1425.0,12,1955,0.27,21,0.0,1.0,1.0,3,2,2,0.0,1.0,1650,30.232283291593987,-81.62233378,0
1125,3,1,1300.0,75,1944,0.12,195,10.0,1.0,1.0,3,1,1,0.0,1.0,1100,30.344444237127007,-81.67276175,1
2500,4,3,2569.0,28,2018,0.22,98,0.0,2.0,2.0,4,3,2,1.0,2.0,2800,30.148880306540462,-81.52471445,1
2200,3,3,1502.0,301,2021,0.04,91,0.0,2.0,2.0,3,3,2,1.0,1.0,2300,30.06422302456529,-81.60462678,1
1495,2,3,1176.0,67,2006,0.01,111,10.0,2.0,2.0,2,3,2,1.0,1.0,1575,30.19096337113924,-81.74859677,1
2000,3,3,1396.0,305,2024,0.1,8,250.0,2.0,2.0,3,3,2,1.0,2.0,2150,29.99775663147156,-81.5038257,0
1895,4,3,2141.0,163,2003,0.23,7,10.0,2.0,2.0,4,3,3,0.0,2.0,1895,30.04618873464399,-81.80088407,0
3200,1,2,1164.0,261,1982,0.0,68,0.0,2.0,2.0,1,2,2,0.0,2.0,3200,30.193786749933857,-81.36820024,0
2800,4,3,2487.0,309,2006,0.35,29,0.0,1.0,1.0,4,3,3,0.0,3.0,2800,29.946029279296408,-81.52566467,0
2250,4,2,1589.0,23,2002,0.19,69,400.0,1.0,1.0,4,2,2,0.0,2.0,2400,30.29202677846742,-81.50382988,0
1995,3,3,1502.0,304,2022,0.05,7,0.0,2.0,2.0,3,3,2,1.0,1.0,1995,30.06082501530129,-81.48900758,0
1650,2,2,0.0,252,1997,0.0,90,190.0,3.0,1.0,2,2,2,0.0,1.0,1900,30.25057821093897,-81.40080411,0
2000,2,3,1442.0,301,2019,0.05,15,10.0,2.0,2.0,2,3,2,1.0,1.0,2000,30.09015662081376,-81.59640089,0
1925,3,2,1845.0,163,2000,0.18,7,0.0,1.0,1.0,3,2,2,0.0,2.0,1965,30.02902064470033,-81.80840957,0
2600,2,2,1400.0,137,1982,0.09,33,0.0,1.0,1.0,2,2,2,0.0,1.0,2600,30.154725540506377,-81.69835957,0
2295,2,3,1412.0,15,2008,0.04,29,0.0,2.0,2.0,2,3,2,1.0,1.0,2295,30.10715294515184,-81.50036482,0
2000,2,3,1442.0,304,2023,0.05,91,500.0,2.0,2.0,2,3,2,1.0,1.0,2850,30.020028007418052,-81.52180767,1
4200,4,4,3246.0,43,2013,0.11,18,0.0,2.0,2.0,4,4,3,1.0,2.0,4200,30.33998945715236,-81.46149017,0
1700,3,3,1626.0,91,2023,0.05,148,0.0,2.0,2.0,3,3,2,1.0,1.0,1895,30.43094540723511,-81.70111522,1
2235,4,2,1979.0,309,2004,0.14,19,0.0,1.0,1.0,4,2,2,0.0,2.0,2570,29.959125229410823,-81.53723947,0
3500,3,2,1626.0,261,1995,0.09,22,350.0,1.0,1.0,3,2,2,0.0,2.0,3500,30.20295395774421,-81.38127705,0
2150,3,3,1396.0,305,2024,0.08,8,250.0,2.0,2.0,3,3,2,1.0,2.0,2150,30.00301740520984,-81.50411957,0
7500,4,3,3159.0,251,1980,0.52,11,10.0,1.0,1.0,4,3,3,0.0,2.0,7500,30.21188899037607,-81.40876944,0
1950,3,3,1700.0,67,2022,0.11,61,0.0,2.0,2.0,3,3,2,1.0,1.0,2000,30.208021116101243,-81.82769748,0
2800,3,3,2387.0,306,2018,0.16,56,0.0,2.0,2.0,3,3,2,1.0,2.0,2950,29.994627859268164,-81.44378351,0
2700,4,2,1919.0,22,2023,0.36,50,0.0,1.0,1.0,4,2,2,0.0,2.0,2700,30.2749334593332,-81.57959065,0
4300,3,2,2275.0,323,1964,0.26,60,150.0,1.0,1.0,3,2,2,0.0,2.0,4500,29.877435840292,-81.2789851,0
1895,4,2,1673.0,139,2004,0.14,0,0.0,1.0,1.0,4,2,2,0.0,2.0,1895,30.184050396207088,-81.80578453,0
2100,3,3,1368.0,15,2006,0.04,15,150.0,2.0,2.0,3,3,2,1.0,1.0,2100,30.10885111820865,-81.4993342,0
3999,4,3,2597.0,309,2016,5.0,46,0.0,1.0,1.0,4,3,3,0.0,3.0,4200,29.94528414,-81.51180642,0
2140,2,2,1797.0,27,2008,0.0,82,150.0,2.0,2.0,2,2,2,0.0,1.0,2200,30.222670310242545,-81.50630755,0
3995,4,3,2433.0,272,2023,0.11,22,300.0,2.0,2.0,4,3,3,0.0,2.0,3995,30.110158725303453,-81.42360496,0
2395,3,2,1425.0,14,1991,0.37,69,0.0,1.0,1.0,3,2,2,0.0,2.0,2500,30.16241611847275,-81.62233267,0
2900,4,2,1909.0,307,2023,0.15,26,0.0,1.0,1.0,4,2,2,0.0,2.0,3200,29.980602669851468,-81.3760821,0
3750,4,3,1797.0,214,1985,0.23,29,150.0,1.0,1.0,4,3,3,0.0,2.0,3750,30.25971000135648,-81.39845077,0
2000,4,3,1824.0,139,2005,0.07,15,0.0,2.0,2.0,4,3,2,1.0,2.0,2000,30.181974782485646,-81.84308841,0
3800,4,3,2546.0,302,2022,0.16,1,1.0,2.0,2.0,4,3,2,1.0,2.0,3800,30.04126025252132,-81.63452402,0
2200,3,3,1795.0,472,2024,0.05,30,100.0,2.0,2.0,3,3,2,1.0,1.0,2300,30.584488256848605,-81.52185129,0
3500,4,4,2876.0,301,2016,0.24,11,0.0,2.0,2.0,4,4,4,0.0,3.0,3500,30.06979706052012,-81.50952475,0
2400,4,3,2256.0,139,2012,0.11,5,250.0,2.0,2.0,4,3,2,1.0,2.0,2400,30.157435162577706,-81.83974026,0
2335,3,4,2142.0,23,2009,0.05,34,233.5,3.0,3.0,3,4,3,1.0,1.0,2295,30.257692749716963,-81.52840401,0
1865,3,2,1502.0,63,2001,0.14,6,0.0,1.0,1.0,3,2,2,0.0,2.0,1930,30.21771035384883,-81.75910225,0
2375,3,3,1795.0,472,2024,0.05,79,0.0,2.0,2.0,3,3,2,1.0,1.0,2489,30.585544810430047,-81.51183835,0
1780,2,3,1492.0,124,2006,0.02,85,10.0,2.0,2.0,2,3,2,1.0,1.0,1700,30.076352710160528,-81.71922372,0
2695,4,3,2395.0,301,2022,0.12,72,20.0,2.0,2.0,4,3,2,1.0,2.0,2995,30.070410732917733,-81.50620607,0
2460,3,2,2222.0,25,1996,0.25,5,0.0,1.0,1.0,3,2,2,0.0,2.0,2560,30.316494074181847,-81.4595018,0
1750,3,2,1158.0,146,2003,0.1,71,0.0,1.0,1.0,3,2,2,0.0,0.0,1750,30.10316222037024,-81.81724983,0
1950,3,3,1502.0,23,2024,0.05,49,0.0,2.0,2.0,3,3,2,1.0,1.0,1995,30.31157509098669,-81.5151758,0
2350,4,2,2013.0,92,2011,0.25,16,0.0,1.0,1.0,4,2,2,0.0,2.0,2350,30.497518678033558,-81.61372158,0
1675,3,1,1182.0,41,1954,0.2,41,0.0,1.0,1.0,3,1,1,0.0,1.0,1675,30.342297160827748,-81.59477436,0
2100,3,2,1942.0,143,2015,0.17,57,0.0,1.0,1.0,3,2,2,0.0,2.0,2300,30.128592904327277,-81.84309609,0
2200,3,2,1192.0,323,1973,0.16,20,10.0,1.0,1.0,3,2,2,0.0,1.0,2200,29.880830742014176,-81.29253164,0
2450,3,2,1388.0,304,2022,0.17,9,10.0,1.0,1.0,3,2,2,0.0,2.0,2450,30.08211569032052,-81.47961246,0
3800,3,3,2477.0,301,2022,0.36,30,10.0,1.0,1.0,3,3,2,1.0,2.0,3800,30.05110481717249,-81.60025529,0
2400,3,3,1574.0,25,2022,0.11,30,0.0,2.0,2.0,3,3,2,1.0,1.0,2400,30.297372949972093,-81.488215,0
5500,4,3,2484.0,214,2016,1.84,6,2.0,2.0,2.0,4,3,3,0.0,2.0,5500,30.276404475400582,-81.40518,0
2115,3,2,1258.0,13,1987,0.48,1,0.0,1.0,1.0,3,2,2,0.0,2.0,2115,30.16895941454642,-81.57704046,0
6500,5,4,3177.0,262,2005,0.47,61,0.0,2.0,2.0,5,4,4,0.0,2.0,6900,30.12936262786899,-81.39416965,0
2100,3,3,1445.0,305,2024,0.05,32,0.0,2.0,2.0,3,3,2,1.0,1.0,2100,29.99231929066497,-81.50762222,0
4400,4,4,3416.0,23,2004,0.21,5,0.0,2.0,2.0,4,4,3,1.0,3.0,4400,30.26629503130305,-81.53037936,0
4700,2,2,1080.0,212,1982,0.01,55,0.0,7.0,1.0,2,2,2,0.0,1.0,4700,30.273736206226133,-81.39089352,0
2015,3,2,2126.0,91,2017,0.24,15,0.0,1.0,1.0,3,2,2,0.0,2.0,2000,30.52599677447052,-81.63951015,0
2100,2,2,1344.0,262,1988,0.1,63,100.0,1.0,1.0,2,2,2,0.0,1.0,2300,30.227112440975283,-81.38080962,0
1775,2,3,1165.0,14,2022,0.04,55,0.0,2.0,2.0,2,3,2,1.0,1.0,1799,30.162848647508547,-81.55005499,0
2150,3,3,1672.0,15,2014,0.05,14,25.0,2.0,2.0,3,3,2,1.0,1.0,2150,30.125394121510105,-81.52704179,0
1800,3,2,1584.0,92,2003,0.25,73,0.0,1.0,1.0,3,2,2,0.0,2.0,1900,30.481743848130613,-81.59826421,0
2195,4,2,1711.0,163,2023,199.04,47,0.0,1.0,1.0,4,2,2,0.0,2.0,2275,30.031354034449876,-81.78113644,0
3500,3,3,2079.0,23,1999,0.5,7,150.0,1.0,1.0,3,3,2,1.0,2.0,3500,30.29944571878957,-81.49641678,0
2795,3,2,1397.0,271,2015,0.13,28,0.0,1.0,1.0,3,2,2,0.0,1.0,2795,30.12948476260569,-81.42760681,0
2100,3,3,1704.0,22,2005,0.07,8,250.0,2.0,2.0,3,3,2,1.0,1.0,2100,30.25224278343272,-81.5738062,0
1695,2,2,1259.0,321,2000,0.0,86,0.0,3.0,3.0,2,2,2,0.0,1.0,1995,29.922806,-81.322964,0
2500,4,2,1648.0,306,2019,0.12,15,0.0,1.0,1.0,4,2,2,0.0,2.0,2500,29.99447036,-81.44881305,0
3600,4,2,2164.0,262,1977,0.27,15,10.0,1.0,1.0,4,2,2,0.0,3.0,3600,30.21664092,-81.39103725,0
1795,3,2,1470.0,33,1951,0.31,0,0.0,1.0,1.0,3,2,2,0.0,1.0,1795,30.237762586691087,-81.70578168,0
1695,2,2,1230.0,24,2007,0.01,5,0.0,2.0,1.0,2,2,2,0.0,1.0,1650,30.239373159670357,-81.58691309,0
3700,4,3,2085.0,272,2021,0.12,19,300.0,2.0,2.0,4,3,3,0.0,2.0,3850,30.112443549980764,-81.43356862,0
1735,3,2,1387.0,61,2006,0.26,2,0.0,1.0,1.0,3,2,2,0.0,2.0,1830,30.27090295026475,-81.79612644,0
3500,3,3,2263.0,272,2017,0.0,61,0.0,2.0,2.0,3,3,3,0.0,2.0,3500,30.08772587997722,-81.4193672,0
2300,3,2,1294.0,13,1988,0.16,2,0.0,1.0,1.0,3,2,2,0.0,2.0,2335,30.175453970366192,-81.58118131,0
3195,3,2,1679.0,331,1995,0.15,161,20.0,1.0,1.0,3,2,2,0.0,2.0,4495,29.82486185176465,-81.26027504,1
2500,2,3,1263.0,271,2016,0.05,5,10.0,2.0,2.0,2,3,2,1.0,1.0,2500,30.13023916568913,-81.42609502,0
2500,2,2,964.0,266,1989,0.0,72,250.0,3.0,1.0,2,2,2,0.0,1.0,2500,29.93341231949097,-81.29622669,0
2350,2,2,1329.0,11,2007,0.0,7,0.0,20.0,1.0,2,2,2,0.0,2.0,2350,30.317662183526227,-81.65076317,0
2400,3,3,1714.0,336,2024,0.13,60,150.0,1.0,1.0,3,3,2,1.0,2.0,2500,29.88926636630136,-81.37652236,0
1500,3,3,1440.0,139,2005,0.04,7,150.0,2.0,2.0,3,3,2,1.0,1.0,1500,30.16767721905395,-81.85216692,0
2575,3,3,1750.0,301,2022,0.08,5,0.0,2.0,2.0,3,3,2,1.0,1.0,2600,30.081583150583143,-81.49012979,0
2000,2,2,1134.0,31,2007,0.01,57,0.0,4.0,4.0,2,2,2,0.0,2.0,2000,30.314188436222388,-81.68698359,0
1985,3,2,1601.0,163,2020,0.13,79,10.0,1.0,1.0,3,2,2,0.0,3.0,2400,30.03018691380385,-81.78121205,0
1995,3,3,1704.0,22,2005,0.09,55,0.0,2.0,2.0,3,3,2,1.0,1.0,1995,30.250363394760136,-81.56701653,0
1950,3,3,1502.0,304,2023,0.05,44,0.0,2.0,2.0,3,3,2,1.0,1.0,2150,30.066761283205537,-81.47949733,0
1915,4,2,1653.0,143,2002,0.17,0,0.0,1.0,1.0,4,2,2,0.0,2.0,1915,30.118050405926944,-81.82390837,0
2450,2,3,1263.0,271,2016,0.05,1,0.0,2.0,2.0,2,3,2,1.0,1.0,2450,30.13019707712704,-81.43550723,0
2195,3,3,1720.0,301,2020,0.05,1,0.0,2.0,2.0,3,3,2,1.0,1.0,2195,30.100705663033093,-81.54234172,0
4250,3,2,2466.0,301,1975,4.0,63,0.0,1.0,1.0,3,2,2,0.0,2.0,4750,30.123623301904946,-81.61476406,0
3000,4,2,2555.0,301,2001,0.28,8,0.0,1.0,1.0,4,2,2,0.0,2.0,3000,30.079121209449283,-81.61139236,0
1950,3,3,1497.0,301,2005,0.11,6,250.0,2.0,2.0,3,3,2,1.0,1.0,1950,30.115853557704806,-81.58093515,0
3095,4,3,2782.0,312,2014,0.2,14,100.0,1.0,1.0,4,3,3,0.0,3.0,3095,30.034668619495932,-81.40177896,0
2195,2,2,1032.0,31,2007,0.01,15,0.0,4.0,4.0,2,2,2,0.0,2.0,2350,30.31595376455871,-81.68288992,0
4650,2,3,3069.0,29,2016,0.11,11,0.0,2.0,2.0,2,3,3,0.0,2.0,4650,30.12680976003201,-81.43919881,0
2150,3,4,1665.0,15,2004,0.1,61,100.0,2.0,2.0,3,4,3,1.0,2.0,2200,30.13176352098605,-81.55476312,0
3200,4,2,1766.0,272,2022,0.14,166,10.0,1.0,1.0,4,2,2,0.0,2.0,3650,30.044419167832444,-81.4086329,1
2700,3,3,2031.0,15,2010,0.16,19,10.0,2.0,2.0,3,3,2,1.0,2.0,2700,30.12578668,-81.50961382,0
2395,4,2,1977.0,301,2001,0.22,5,0.0,1.0,1.0,4,2,2,0.0,2.0,2435,30.061876557859453,-81.5116151,0
2120,3,2,1517.0,146,1992,0.28,2,0.0,1.0,1.0,3,2,2,0.0,2.0,2230,30.093832480023234,-81.76682045,0
4200,4,4,3150.0,26,2006,0.19,62,500.0,2.0,2.0,4,4,3,1.0,2.0,4400,30.292193658069696,-81.47146515,0
2155,4,2,1639.0,139,1999,0.18,6,0.0,1.0,1.0,4,2,2,0.0,2.0,2205,30.179453080074857,-81.79963693,0
